N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
162,한전KPS,"33,300",250,-0.75%,200,"14,985","45,000",9.44,"110,207",10.58,8.61,
163,오뚜기,"373,000","1,000",+0.27%,"5,000","14,949","4,008",9.68,"7,122",5.41,16.53,
164,솔루엠,"29,700","1,000",-3.26%,500,"14,852","50,006",20.39,"332,920",13.80,16.93,
165,하이트진로,"20,950",300,-1.41%,"5,000","14,693","70,134",9.71,"218,205",52.24,7.72,
166,HD현대인프라코어,"7,350","1,160",-13.63%,"1,000","14,671","199,603",19.48,"7,760,338",4.51,15.29,
167,대한전선,"11,500",400,-3.36%,"1,000","14,311","124,447",3.28,"290,946",34.43,3.32,
168,이수페타시스,"22,600","1,450",-6.03%,"1,000","14,294","63,246",9.18,"1,327,458",16.72,58.92,
169,롯데정밀화학,"55,300","1,500",-2.64%,"5,000","14,267","25,800",21.04,"54,874",5.23,6.51,
170,TIGER TOP10,"10,170",375,-3.56%,0,"14,157","139,200",10.99,"198,881",N/A,N/A,
171,삼양식품,"187,500","3,400",-1.78%,"5,000","14,124","7,533",12.71,"62,880",15.61,18.92,
172,KG모빌리티,"7,520",220,-2.84%,"5,000","14,059","186,956",25.82,"340,228",227.88,-12.10,
173,TIGER 미국필라델피아반도체나스닥,"11,485",415,-3.49%,0,"13,834","120,450",0.14,"948,478",N/A,N/A,
174,DGB금융지주,"8,120",130,-1.58%,"5,000","13,735","169,146",45.14,"538,819",3.22,7.38,
175,SK가스,"147,100","4,800",-3.16%,"5,000","13,578","9,230",6.83,"10,720",5.21,11.53,
176,TCC스틸,"51,600",200,+0.39%,"1,000","13,526","26,214",6.41,"631,371","-2,064.00",16.54,
177,KODEX 단기채권PLUS,"108,115",30,+0.03%,0,"13,427","12,419",0.01,"12,932",N/A,N/A,
178,효성티앤씨,"309,500","10,500",-3.28%,"5,000","13,394","4,328",10.33,"19,808",-41.63,0.88,
179,롯데칠성,"144,000",0,0.00%,500,"13,362","9,279",10.18,"42,319",12.73,9.11,
180,에스엘,"28,750",350,-1.20%,500,"13,354","46,449",15.94,"120,085",5.36,9.87,
181,SK네트웍스,"5,600",190,-3.28%,"2,500","13,204","235,778",10.77,"602,771",29.32,3.88,
182,동원산업,"28,100",900,-3.10%,"1,000","13,062","46,483",1.88,"12,527",6.96,8.53,
183,DL이앤씨,"33,650",550,-1.61%,"5,000","13,020","38,694",26.63,"138,354",4.49,9.70,
184,코리안리,"8,890",50,-0.56%,500,"12,519","140,823",31.23,"330,966",3.68,5.91,
185,현대백화점,"53,400","1,200",-2.20%,"5,000","12,497","23,402",20.64,"76,479",11.33,3.20,
186,금호타이어,"4,305",20,-0.46%,"5,000","12,367","287,260",4.32,"1,270,519","-1,435.00",-6.87,
187,한국콜마,"53,800","1,000",-1.82%,500,"12,310","22,881",29.81,"172,218",-197.79,-3.26,
188,LX세미콘,"75,300","1,500",-1.95%,500,"12,247","16,264",27.04,"77,081",13.06,26.70,
189,두산,"74,100","3,400",-4.39%,"5,000","12,244","16,524",10.37,"202,459",-2.24,-36.00,
190,에스디바이오센서,"9,820",490,-4.75%,500,"12,224","124,477",6.10,"405,765",-4.91,35.30,
191,효성,"57,600",400,-0.69%,"5,000","12,137","21,071",5.03,"38,052",-16.66,0.60,
192,KBSTAR 200,"31,225",840,-2.62%,0,"12,115","38,800",0.00,"205,871",N/A,N/A,
193,덴티움,"107,400","2,900",+2.78%,500,"11,888","11,069",19.81,"148,653",16.35,25.86,
194,대웅제약,"100,200","1,500",-1.47%,"2,500","11,610","11,587",9.95,"25,611",22.63,7.17,
195,코오롱인더,"41,850","2,250",-5.10%,"5,000","11,517","27,519",12.75,"124,049",11.04,7.13,
196,종근당,"91,300","2,000",-2.14%,"2,500","11,475","12,568",10.21,"33,031",9.64,13.62,
197,한샘,"48,450","1,250",-2.52%,"1,000","11,402","23,534",13.94,"15,790",-10.88,-13.37,
198,GS건설,"13,190",300,-2.22%,"5,000","11,288","85,581",19.02,"386,316",-10.52,7.18,
199,녹십자,"96,300","1,300",-1.33%,"5,000","11,254","11,687",17.92,"16,884",44.24,5.03,
200,코스모화학,"31,750","1,400",-4.22%,"1,000","11,115","35,008",3.99,"326,614",-95.92,6.13,
